,com_qqnn,com_constant,bmb_bra,bmb_ket,bmbs,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,"0 1 3 2(0, 1)",1,0.3433032811627978,0.3433032811627978,0.117857142857143,-0.0,0.117857142857143,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
1,"0 2 2 3(0, 2)",1,0.06267831705280082,0.06267831705280082,0.003928571428571422,0.0,-0.0,0.003928571428571422,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2,"0 2 3 1(0, 2)",1,-0.324037034920393,-0.324037034920393,0.10499999999999998,0.0,-0.0,0.10499999999999998,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
3,"0 3 1 4(0, 3)",1,-0.2996596709057578,-0.2996596709057578,0.08979591836734706,-0.0,0.0,-0.0,0.08979591836734704,-0.0,0.0,-0.0,0.0,-0.0,0.0
4,"0 3 2 2(0, 3)",1,-0.06428571428571409,-0.06428571428571409,0.004132653061224464,-0.0,0.0,-0.0,0.004132653061224463,-0.0,0.0,-0.0,0.0,-0.0,0.0
5,"0 4 0 5(0, 4)",1,-0.1498298354528787,-0.1498298354528787,0.02244897959183671,0.0,-0.0,0.0,-0.0,0.02244897959183671,-0.0,0.0,-0.0,0.0,-0.0
6,"0 4 1 3(0, 4)",1,0.3614031611621006,0.3614031611621006,0.13061224489795925,0.0,-0.0,0.0,-0.0,0.13061224489795925,-0.0,0.0,-0.0,0.0,-0.0
7,"0 5 0 4(0, 5)",1,-0.14982983545287964,-0.14982983545287964,0.02244897959183699,-0.0,0.0,-0.0,0.0,-0.0,0.022448979591836987,-0.0,0.0,-0.0,0.0
8,"1 1 2 2(1, 1)",1,-0.026726124191242494,-0.026726124191242494,0.0007142857142857173,-0.0,0.0017857142857142937,-0.0035714285714285835,0.0025000000000000152,-0.0,0.0,-0.0,0.0,-0.0,0.0
9,"1 2 1 3(1, 2)",1,0.13131983079178738,0.13131983079178738,0.01724489795918367,0.0,-0.0,0.06035714285714296,-0.12071428571428593,0.07760204081632657,-0.0,0.0,-0.0,0.0,-0.0
10,"1 2 2 1(1, 2)",1,-0.09091372900969895,-0.09091372900969895,0.008265306122448976,0.0,-0.0,0.028928571428571477,-0.057857142857142954,0.037193877551020424,-0.0,0.0,-0.0,0.0,-0.0
11,"1 3 0 4(1, 3)",1,0.3614031611621008,0.3614031611621008,0.13061224489795942,-0.0,0.0,-0.0,0.5877551020408178,-1.1755102040816354,0.718367346938777,-0.0,0.0,-0.0,0.0
12,"1 3 1 2(1, 3)",1,0.13131983079178763,0.13131983079178763,0.017244897959183735,-0.0,0.0,-0.0,0.07760204081632688,-0.15520408163265373,0.09484693877551058,-0.0,0.0,-0.0,0.0
13,"1 4 0 3(1, 4)",1,-0.29965967090575746,-0.29965967090575746,0.08979591836734686,0.0,-0.0,0.0,-0.0,0.4938775510204079,-0.9877551020408158,0.5836734693877553,-0.0,0.0,-0.0
14,"2 1 1 2(2, 1)",1,-0.09091372900969909,-0.09091372900969909,0.008265306122449,-0.0,0.0361607142857144,-0.14464285714285743,0.2748214285714299,-0.26035714285714334,0.10228316326530665,-0.0,0.0,-0.0,0.0
15,"2 2 0 3(2, 2)",1,-0.06428571428571427,-0.06428571428571427,0.004132653061224487,0.0,-0.0,0.03254464285714287,-0.13017857142857123,0.23246173469387824,-0.2045663265306116,0.07387117346938768,-0.0,0.0,-0.0
16,"2 2 1 1(2, 2)",1,-0.026726124191242463,-0.026726124191242463,0.0007142857142857156,0.0,-0.0,0.005625000000000015,-0.022500000000000023,0.04017857142857165,-0.03535714285714283,0.01276785714285716,-0.0,0.0,-0.0
17,"2 3 0 2(2, 3)",1,0.06267831705280126,0.06267831705280126,0.003928571428571477,-0.0,0.0,-0.0,0.04861607142857216,-0.1944642857142883,0.3349107142857196,-0.28089285714286155,0.09575892857142994,-0.0,0.0
18,"3 1 0 2(3, 1)",1,-0.32403703492039326,-0.32403703492039326,0.10500000000000016,-0.0,0.6890625000000016,-4.134375000000015,12.816562500000042,-23.703750000000102,26.637187500000053,-16.891874999999978,4.692187500000011,-0.0,0.0
19,"3 2 0 1(3, 2)",1,0.3433032811627974,0.3433032811627974,0.11785714285714273,0.0,-0.0,1.701562500000001,-10.209374999999998,29.89888392857141,-51.533035714285695,53.72075892857148,-31.600446428571235,8.139508928571432,-0.0
