,com_qqnn,com_constant,bmb_bra,bmb_ket,bmbs,p0,p1,p2,p3,p4,p5,p6
0,"0 0 2 2(0, 0)",1,0.25617376914899,0.1936491673103706,0.04960783708246102,0.04960783708246102,-0.0,0.0,-0.0,0.0,-0.0,0.0
1,"0 1 1 3(0, 1)",1,0.39686269665968854,-0.04999999999999977,-0.019843134832984336,0.0,-0.019843134832984336,0.0,-0.0,0.0,-0.0,0.0
2,"0 1 2 1(0, 1)",1,-0.05400617248673254,-0.367423461417477,0.019843134832984582,-0.0,0.019843134832984582,-0.0,0.0,-0.0,0.0,-0.0
3,"0 2 0 4(0, 2)",1,0.29999999999999993,-0.1511857892036909,-0.04535573676110726,-0.0,0.0,-0.04535573676110726,0.0,-0.0,0.0,-0.0
4,"0 2 1 2(0, 2)",1,-0.2635231383473654,0.17928429140015942,-0.04724555912615359,-0.0,0.0,-0.04724555912615359,0.0,-0.0,0.0,-0.0
5,"0 2 2 0(0, 2)",1,-0.1416666666666671,0.396862696659689,-0.05622221536012278,-0.0,0.0,-0.05622221536012278,0.0,-0.0,0.0,-0.0
6,"0 3 1 1(0, 3)",1,0.05916079783099583,-0.3354101966249686,-0.01984313483298433,0.0,-0.0,0.0,-0.019843134832984326,0.0,-0.0,0.0
7,"0 4 0 2(0, 4)",1,0.2999999999999998,0.151185789203691,0.045355736761107275,0.0,-0.0,0.0,-0.0,0.045355736761107275,-0.0,0.0
8,"1 1 0 3(1, 1)",1,0.05916079783099588,0.3354101966249686,0.019843134832984343,-0.0,0.04960783708246087,-0.09921567416492165,0.06945097191544534,-0.0,0.0,-0.0
9,"1 2 0 2(1, 2)",1,-0.26352313834736546,-0.1792842914001592,0.04724555912615354,0.0,-0.0,0.1653594569415377,-0.3307189138830754,0.21260501606769108,-0.0,0.0
10,"1 3 0 1(1, 3)",1,0.39686269665968843,0.04999999999999969,0.019843134832984298,-0.0,0.0,-0.0,0.08929410674842941,-0.1785882134968588,0.10913724158141368,-0.0
11,"2 0 0 2(2, 0)",1,-0.14166666666666708,-0.39686269665968904,0.05622221536012278,0.10541665380023019,-0.4216666152009209,0.9136109996019947,-0.9838887688021479,0.4427499459609673,-0.0,0.0
12,"2 1 0 1(2, 1)",1,-0.05400617248673259,0.367423461417477,-0.0198431348329846,0.0,-0.08681371489430766,0.3472548595772303,-0.6597842331967394,0.6250587472390144,-0.24555879355818505,0.0
13,"2 2 0 0(2, 2)",1,0.25617376914898987,-0.19364916731037055,-0.04960783708246098,-0.0,0.0,-0.3906617170243806,1.5626468680975198,-2.79044083588844,2.4555879355818124,-0.8867400878489897
